,0,1,2,3,4
0,what position does Alan_PULIDO play ?,Forward,Alan_PULIDO#plays_position#Forward#<end>#Forward,Forward/,Alan_PULIDO#plays_in_club#Tigres_UANL///Alan_PULIDO#plays_position#Forward///Alan_PULIDO#is_aged#23///Alan_PULIDO#wears_number#11///Alan_PULIDO#plays_for_country#Mexico///Tigres_UANL#is_in_country#Mexico
1,what is the age of Alan_PULIDO ?,23,Alan_PULIDO#is_aged#23#<end>#23,23/,Alan_PULIDO#plays_in_club#Tigres_UANL///Alan_PULIDO#plays_position#Forward///Alan_PULIDO#is_aged#23///Alan_PULIDO#wears_number#11///Alan_PULIDO#plays_for_country#Mexico///Tigres_UANL#is_in_country#Mexico
2,what is the jersey number of Alan_PULIDO ?,11,Alan_PULIDO#wears_number#11#<end>#11,11/,Alan_PULIDO#plays_in_club#Tigres_UANL///Alan_PULIDO#plays_position#Forward///Alan_PULIDO#is_aged#23///Alan_PULIDO#wears_number#11///Alan_PULIDO#plays_for_country#Mexico///Tigres_UANL#is_in_country#Mexico
3,which national team does Alan_PULIDO play for ?,Mexico,Alan_PULIDO#plays_for_country#Mexico#<end>#Mexico,Mexico/,Alan_PULIDO#plays_in_club#Tigres_UANL///Alan_PULIDO#plays_position#Forward///Alan_PULIDO#is_aged#23///Alan_PULIDO#wears_number#11///Alan_PULIDO#plays_for_country#Mexico///Tigres_UANL#is_in_country#Mexico
4,which country is the soccer team Tigres_UANL based in ?,Mexico,Tigres_UANL#is_in_country#Mexico#<end>#Mexico,Mexico/,Alan_PULIDO#plays_in_club#Tigres_UANL///Alan_PULIDO#plays_position#Forward///Alan_PULIDO#is_aged#23///Alan_PULIDO#wears_number#11///Alan_PULIDO#plays_for_country#Mexico///Tigres_UANL#is_in_country#Mexico
5,who is from the professional football team Tigres_UANL ?,Alan_PULIDO,Tigres_UANL#plays_in_club_inverse#Alan_PULIDO#<end>#Alan_PULIDO,Carlos_SALCIDO/Alan_PULIDO/,Alan_PULIDO#plays_in_club#Tigres_UANL///Alan_PULIDO#plays_position#Forward///Alan_PULIDO#is_aged#23///Alan_PULIDO#wears_number#11///Alan_PULIDO#plays_for_country#Mexico///Tigres_UANL#is_in_country#Mexico
6,who plays for the Mexico national football team ?,Alan_PULIDO,Mexico#plays_for_country_inverse#Alan_PULIDO#<end>#Alan_PULIDO,Aldo_RAMIREZ/Walter_AYOVI/Isaac_BRIZUELA/Jose_CORONA/Jefferson_MONTERO/Raul_JIMENEZ/Miguel_PONCE/Enner_VALENCIA/Carlos_SALCIDO/Fidel_MARTINEZ/Oribe_PERALTA/Alan_PULIDO/DaMarcus_BEASLEY/Miguel_LAYUN/Paul_AGUILAR/Jose_Maria_BASANTA/Egidio_AREVALO/Jaimen_AYOVI/Jose_VAZQUEZ/Francisco_RODRIGUEZ/Michael_ARROYO/Carlos_PENA/Alfredo_TALAVERA/Rafael_MARQUEZ/Marco_FABIAN/Joao_ROJAS/,Alan_PULIDO#plays_in_club#Tigres_UANL///Alan_PULIDO#plays_position#Forward///Alan_PULIDO#is_aged#23///Alan_PULIDO#wears_number#11///Alan_PULIDO#plays_for_country#Mexico///Tigres_UANL#is_in_country#Mexico
7,who plays Forward ?,Alan_PULIDO,Forward#plays_position_inverse#Alan_PULIDO#<end>#Alan_PULIDO,Diego_FORLAN/Olivier_GIROUD/Ciro_IMMOBILE/Andre_SCHUERRLE/Hiroshi_KIYOTAKE/Ahmed_MUSA/Yoshito_OKUBO/Alessio_CERCI/Wayne_ROONEY/JO/Eduardo_VARGAS/Vincent_ABOUBAKAR/HUGO_ALMEIDA/PARK_Chuyoung/Georgios_SAMARAS/Theofanis_GEKAS/Fernando_TORRES/Josip_DRMIC/Enner_VALENCIA/Loic_REMY/Reza_GHOOCHANNEJAD/Kevin_MIRALLAS/Carlos_BACCA/Karim_ANSARI_FARD/Oribe_PERALTA/LEE_Keunho/Arjen_ROBBEN/Klaas_Jan_HUNTELAAR/Yoichiro_KAKITANI/Dimitrios_SALPINGIDIS/Mario_MANDZUKIC/Alexey_IONOV/Aleksandr_KERZHAKOV/Mario_GAVRANOVIC/Lukas_PODOLSKI/Jaimen_AYOVI/Aron_JOHANNSSON/Didier_DROGBA/Riyad_MAHREZ/Marco_REUS/Mathew_LECKIE/Ezequiel_LAVEZZI/Felipe_CAICEDO/Yuya_OSAKO/Manabu_SAITO/Samuel_ETOO/Javier_HERNANDEZ/HULK/Alexander_KOKORIN/Benjamin_MOUKANDJO/Joao_ROJAS/Abdelmoumene_DJABOU/Miroslav_KLOSE/Raul_JIMENEZ/Adam_TAGGART/Lionel_MESSI/Ioannis_FETFATZIDIS/Antonio_CASSANO/Lorenzo_INSIGNE/Fabian_ORELLANA/Konstantinos_MITROGLOU/Clint_DEMPSEY/Luis_SUAREZ/Franck_RIBERY/Tim_CAHILL/Abel_HERNANDEZ/Emmanuel_EMENIKE/Salomon_KALOU/EDUARDO_1/Masoud_SHOJAEI/Victor_MOSES/Victor_IBARBO/Rodrigo_PALACIO/KIM_Shinwook/Bryan_RUIZ/Pedro_RODRIGUEZ/Carlo_COSTLY/BERNARD/Pierre_WEBO/Shola_AMEOBI/El_Arabi_SOUDANI/Dirk_KUYT/Keisuke_HONDA/Ivica_OLIC/Teofilo_GUTIERREZ/Ben_HALLORAN/GERVINHO/Alexander_SAMEDOV/Mario_BALOTELLI/Mauricio_PINILLA/Shinji_KAGAWA/Edin_DZEKO/Randall_BRENES/Ashkan_DEJAGAH/Nabil_GHILAS/FRED/KOO_Jacheol/Kevin_Prince_BOATENG/Marcos_URENA/Islam_SLIMANI/Gonzalo_HIGUAIN/Jozy_ALTIDORE/Diego_COSTA/Giovanni_SIO/Vedad_IBISEVIC/Fabrice_OLINGA/Memphis_DEPAY/Jeremain_LENS/Edinson_CAVANI/Sofiane_FEGHOULI/HELDER_POSTIGA/Mario_GOETZE/Robin_VAN_PERSIE/RAFA/Michael_BABATUNDE/Joel_CAMPBELL/Khosro_HEYDARI/Uche_NWOFOR/EDER/Majeed_WARIS/Alireza_JAHAN_BAKHSH/Ante_REBIC/Admir_MEHMEDI/Jackson_MARTINEZ/Jerry_BENGTSON/Alexis_SANCHEZ/VARELA/Juan_MATA/NANI/Rony_MARTINEZ/NEYMAR/Haris_SEFEROVIC/Antoine_GRIEZMANN/Asamoah_GYAN/Thomas_MUELLER/Romelu_LUKAKU/VIEIRINHA/Divock_ORIGI/Cristhian_STUANI/Maksim_KANUNNIKOV/Alan_PULIDO/Sergio_AGUERO/Daniel_STURRIDGE/Rickie_LAMBERT/Karim_BENZEMA/Esteban_PAREDES/Giovani_DOS_SANTOS/Adrian_RAMOS/David_VILLA/Eric_CHOUPO_MOTING/Jordan_AYEW/Yury_ZHIRKOV/Chris_WONDOLOWSKI/Edin_VISCA/CRISTIANO_RONALDO/Shinji_OKAZAKI/Okechukwu_UCHEBO/Nikica_JELAVIC/Peter_ODEMWINGIE/Danny_WELBECK/Wilfried_BONY/,Alan_PULIDO#plays_in_club#Tigres_UANL///Alan_PULIDO#plays_position#Forward///Alan_PULIDO#is_aged#23///Alan_PULIDO#wears_number#11///Alan_PULIDO#plays_for_country#Mexico///Tigres_UANL#is_in_country#Mexico
8,which soccer club is based in Mexico ?,Tigres_UANL,Mexico#is_in_country_inverse#Tigres_UANL#<end>#Tigres_UANL,CF_Monterrey/CA_Monarcas_Morelia/Atlante_FC/CF_Pachuca/Tigres_UANL/Cruz_Azul_FC/Club_Leon/Club_Santos_Laguna/Puebla_FC/Club_America/Deportivo_Toluca_FC/Club_Tijuana/,Alan_PULIDO#plays_in_club#Tigres_UANL///Alan_PULIDO#plays_position#Forward///Alan_PULIDO#is_aged#23///Alan_PULIDO#wears_number#11///Alan_PULIDO#plays_for_country#Mexico///Tigres_UANL#is_in_country#Mexico
9,where is the football club that Alan_PULIDO plays for ?,Mexico,Alan_PULIDO#plays_in_club#Tigres_UANL#is_in_country#Mexico,Mexico/,Alan_PULIDO#plays_in_club#Tigres_UANL///Alan_PULIDO#plays_position#Forward///Alan_PULIDO#is_aged#23///Alan_PULIDO#wears_number#11///Alan_PULIDO#plays_for_country#Mexico///Tigres_UANL#is_in_country#Mexico
